step,episode,episode_reward,episode_length,epsilon,loss,mean_q,mean_target,mean_td_abs,beta
426,0,-1.1572438162533132,426,0.99494125,,,,,
1196,1,-114.60491803278725,770,0.9857975,,,,,
2015,2,-117.8269360269365,819,0.976071875,,,,,
2726,3,-104.33333333333388,711,0.96762875,,,,,
3603,4,-124.30886075949417,877,0.957214375,1.0390334129333496,-0.10781019926071167,-5.616589069366455,6.99453067779541,0.4108
4593,5,-127.7135593220347,990,0.945458125,0.7009484767913818,-0.3454257845878601,-5.828920364379883,6.342830181121826,0.41377600000000003
