step,episode,episode_reward,episode_length,epsilon,loss,mean_q,mean_target,mean_td_abs,beta
26000,0,41.34275618374844,1000,0.09366666666666665,0.06615126878023148,1.0867215394973755,1.2732131481170654,0.44331884384155273,0.47800000000000004
27000,1,362.295081967214,1000,0.0915,0.11568141728639603,0.21481604874134064,0.38319775462150574,0.7324162721633911,0.48100000000000004
28000,2,398.3164983164876,1000,0.08933333333333332,0.30163222551345825,0.2247314602136612,1.3850386142730713,1.4103670120239258,0.48400000000000004
29000,3,622.8070175438487,1000,0.08716666666666666,0.23019322752952576,0.32639142870903015,1.6052992343902588,1.703171730041504,0.487
30000,4,358.86075949366557,1000,0.08499999999999999,0.29956531524658203,0.4241633415222168,1.2534239292144775,1.2644659280776978,0.49
31000,0,126.1484098939975,1000,0.08283333333333331,0.23109114170074463,-0.04041481018066406,0.8289978504180908,1.0720229148864746,0.493
32000,1,168.8524590163982,1000,0.08066666666666666,0.1477399319410324,0.26791322231292725,0.9835522174835205,1.0986249446868896,0.496
33000,2,304.0404040404068,1000,0.07849999999999999,0.1538567841053009,0.7487726807594299,1.252571940422058,1.099207878112793,0.499
34000,3,507.01754385963517,1000,0.07633333333333332,0.35397934913635254,0.7043290138244629,1.7771574258804321,1.4346988201141357,0.502
35000,4,368.35443037973954,1000,0.07416666666666666,0.19157527387142181,0.8843819499015808,1.6946367025375366,1.286123514175415,0.505
